IdGasto,IdSucursal,IdTipoGasto,Fecha,Monto,MinMonto,MaxMonto,Calidad_Monto,Fecha_Año,Fecha_Mes,Fecha_Periodo
1,18,1,2015-01-01,1164.9,954.1362499999998,1247.7837500000003,Sin errores,2015,1,201501
2,18,2,2015-01-01,317.02,286.225,373.91499999999996,Sin errores,2015,1,201501
3,18,3,2015-01-01,118.89,95.57250000000002,124.6575,Sin errores,2015,1,201501
4,18,4,2015-01-01,1174.23,948.70125,1251.79875,Sin errores,2015,1,201501
5,1,1,2015-01-01,1104.51,954.1362499999998,1247.7837500000003,Sin errores,2015,1,201501
6,1,2,2015-01-01,359.96,286.225,373.91499999999996,Sin errores,2015,1,201501
7,1,3,2015-01-01,108.59,95.57250000000002,124.6575,Sin errores,2015,1,201501
8,1,4,2015-01-01,1029.69,948.70125,1251.79875,Sin errores,2015,1,201501
9,2,1,2015-01-01,1090.87,954.1362499999998,1247.7837500000003,Sin errores,2015,1,201501
10,2,2,2015-01-01,349.58,286.225,373.91499999999996,Sin errores,2015,1,201501
11,2,3,2015-01-01,115.37,95.57250000000002,124.6575,Sin errores,2015,1,201501
12,2,4,2015-01-01,1072.56,948.70125,1251.79875,Sin errores,2015,1,201501
13,3,1,2015-01-01,1101.79,954.1362499999998,1247.7837500000003,Sin errores,2015,1,201501
14,3,2,2015-01-01,327.39,286.225,373.91499999999996,Sin errores,2015,1,201501
15,3,3,2015-01-01,115.11,95.57250000000002,124.6575,Sin errores,2015,1,201501
16,3,4,2015-01-01,1081.61,948.70125,1251.79875,Sin errores,2015,1,201501
17,4,1,2015-01-01,1154.77,954.1362499999998,1247.7837500000003,Sin errores,2015,1,201501
18,4,2,2015-01-01,338.7,286.225,373.91499999999996,Sin errores,2015,1,201501
19,4,3,2015-01-01,118.06,95.57250000000002,124.6575,Sin errores,2015,1,201501
20,4,4,2015-01-01,1116.24,948.70125,1251.79875,Sin errores,2015,1,201501
21,5,1,2015-01-01,1039.26,954.1362499999998,1247.7837500000003,Sin errores,2015,1,201501
22,5,2,2015-01-01,314.28,286.225,373.91499999999996,Sin errores,2015,1,201501
23,5,3,2015-01-01,112.02,95.57250000000002,124.6575,Sin errores,2015,1,201501
24,5,4,2015-01-01,1058.34,948.70125,1251.79875,Sin errores,2015,1,201501
25,6,1,2015-01-01,1130.99,954.1362499999998,1247.7837500000003,Sin errores,2015,1,201501
26,6,2,2015-01-01,323.98,286.225,373.91499999999996,Sin errores,2015,1,201501
27,6,3,2015-01-01,100.68,95.57250000000002,124.6575,Sin errores,2015,1,201501
28,6,4,2015-01-01,1194.0,948.70125,1251.79875,Sin errores,2015,1,201501
29,7,1,2015-01-01,1149.71,954.1362499999998,1247.7837500000003,Sin errores,2015,1,201501
30,7,2,2015-01-01,349.96,286.225,373.91499999999996,Sin errores,2015,1,201501
31,7,3,2015-01-01,118.35,95.57250000000002,124.6575,Sin errores,2015,1,201501
32,7,4,2015-01-01,1017.8,948.70125,1251.79875,Sin errores,2015,1,201501
33,8,1,2015-01-01,1138.61,954.1362499999998,1247.7837500000003,Sin errores,2015,1,201501
34,8,2,2015-01-01,311.89,286.225,373.91499999999996,Sin errores,2015,1,201501
35,8,3,2015-01-01,118.23,95.57250000000002,124.6575,Sin errores,2015,1,201501
36,8,4,2015-01-01,1192.59,948.70125,1251.79875,Sin errores,2015,1,201501
37,9,1,2015-01-01,1016.09,954.1362499999998,1247.7837500000003,Sin errores,2015,1,201501
38,9,2,2015-01-01,330.8,286.225,373.91499999999996,Sin errores,2015,1,201501
39,9,3,2015-01-01,106.5,95.57250000000002,124.6575,Sin errores,2015,1,201501
40,9,4,2015-01-01,1017.2,948.70125,1251.79875,Sin errores,2015,1,201501
41,10,1,2015-01-01,1090.89,954.1362499999998,1247.7837500000003,Sin errores,2015,1,201501
42,10,2,2015-01-01,300.85,286.225,373.91499999999996,Sin errores,2015,1,201501
43,10,3,2015-01-01,114.15,95.57250000000002,124.6575,Sin errores,2015,1,201501
44,10,4,2015-01-01,1099.19,948.70125,1251.79875,Sin errores,2015,1,201501
45,13,1,2015-01-01,1071.34,954.1362499999998,1247.7837500000003,Sin errores,2015,1,201501
46,13,2,2015-01-01,317.74,286.225,373.91499999999996,Sin errores,2015,1,201501
47,13,3,2015-01-01,108.16,95.57250000000002,124.6575,Sin errores,2015,1,201501
48,13,4,2015-01-01,1030.56,948.70125,1251.79875,Sin errores,2015,1,201501
49,15,1,2015-01-01,1108.04,954.1362499999998,1247.7837500000003,Sin errores,2015,1,201501
50,15,2,2015-01-01,314.56,286.225,373.91499999999996,Sin errores,2015,1,201501
51,15,3,2015-01-01,111.85,95.57250000000002,124.6575,Sin errores,2015,1,201501
52,15,4,2015-01-01,1046.93,948.70125,1251.79875,Sin errores,2015,1,201501
53,20,1,2015-01-01,1079.13,954.1362499999998,1247.7837500000003,Sin errores,2015,1,201501
54,20,2,2015-01-01,316.47,286.225,373.91499999999996,Sin errores,2015,1,201501
55,20,3,2015-01-01,103.71,95.57250000000002,124.6575,Sin errores,2015,1,201501
56,20,4,2015-01-01,1020.62,948.70125,1251.79875,Sin errores,2015,1,201501
57,17,1,2015-01-01,1191.94,954.1362499999998,1247.7837500000003,Sin errores,2015,1,201501
58,17,2,2015-01-01,329.35,286.225,373.91499999999996,Sin errores,2015,1,201501
59,17,3,2015-01-01,111.33,95.57250000000002,124.6575,Sin errores,2015,1,201501
60,17,4,2015-01-01,1073.17,948.70125,1251.79875,Sin errores,2015,1,201501
61,21,1,2015-01-01,1025.85,954.1362499999998,1247.7837500000003,Sin errores,2015,1,201501
62,21,2,2015-01-01,332.92,286.225,373.91499999999996,Sin errores,2015,1,201501
63,21,3,2015-01-01,107.12,95.57250000000002,124.6575,Sin errores,2015,1,201501
64,21,4,2015-01-01,1026.56,948.70125,1251.79875,Sin errores,2015,1,201501
65,22,1,2015-01-01,1119.32,954.1362499999998,1247.7837500000003,Sin errores,2015,1,201501
66,22,2,2015-01-01,335.08,286.225,373.91499999999996,Sin errores,2015,1,201501
67,22,3,2015-01-01,102.67,95.57250000000002,124.6575,Sin errores,2015,1,201501
68,22,4,2015-01-01,1182.89,948.70125,1251.79875,Sin errores,2015,1,201501
69,12,1,2015-01-01,1034.23,954.1362499999998,1247.7837500000003,Sin errores,2015,1,201501
70,12,2,2015-01-01,306.75,286.225,373.91499999999996,Sin errores,2015,1,201501
71,12,3,2015-01-01,100.97,95.57250000000002,124.6575,Sin errores,2015,1,201501
72,12,4,2015-01-01,1181.21,948.70125,1251.79875,Sin errores,2015,1,201501
73,14,1,2015-01-01,1076.83,954.1362499999998,1247.7837500000003,Sin errores,2015,1,201501
74,14,2,2015-01-01,312.16,286.225,373.91499999999996,Sin errores,2015,1,201501
75,14,3,2015-01-01,117.22,95.57250000000002,124.6575,Sin errores,2015,1,201501
76,14,4,2015-01-01,1139.23,948.70125,1251.79875,Sin errores,2015,1,201501
77,19,1,2015-01-01,1179.67,954.1362499999998,1247.7837500000003,Sin errores,2015,1,201501
78,19,2,2015-01-01,324.2,286.225,373.91499999999996,Sin errores,2015,1,201501
79,19,3,2015-01-01,106.43,95.57250000000002,124.6575,Sin errores,2015,1,201501
80,19,4,2015-01-01,1079.6,948.70125,1251.79875,Sin errores,2015,1,201501
81,16,1,2015-01-01,1005.02,954.1362499999998,1247.7837500000003,Sin errores,2015,1,201501
82,16,2,2015-01-01,355.89,286.225,373.91499999999996,Sin errores,2015,1,201501
83,16,3,2015-01-01,111.65,95.57250000000002,124.6575,Sin errores,2015,1,201501
84,16,4,2015-01-01,1023.6,948.70125,1251.79875,Sin errores,2015,1,201501
